[1, 2, 3, 4]
[10, 20, 40, 60, 80]
[656, 2176, 4192, 7632, 11664]
[3405.1820820557186, 13746.016110796967, 35581.667530071914, 70414.72406642599, 120406.8384898931]
[0.6179832106428345, 0.0561093536953274, 0.00021301346763578303, 3.0655021672352677e-09, 2.171929670025383e-24]
[1, 1, 1, 1, 1]
[0.8307187014821328, 0.62426586764354, 0.3420891339682014, 0.18559023879528846, 0.10170090558064054]
[0.8063243494447923, 0.13100212466283978, 0.0026388161844394706, 7.617732729681046e-07, 7.978178984387348e-20]
[0.9474065091141411, 0.8478237090774322, 0.6885367230816224, 0.5313596336427686, 0.42213450329202695]
[0.9738152014660741, 0.8092482697668023, 0.34271375496104983, 0.040806768748092054, 0.0006341124967479605]
[41, 136, 262, 477, 729]
[10, 20, 40, 60, 80]
[400, 1248, 2336, 3856, 5360]
[2529.0924439535033, 9675.626330588892, 21323.197560826564, 39942.054475428085, 57808.8860124596]
[0.6377904948263312, 0.07922680566621965, 0.00042213459498977366, 1.262582798215611e-10, 1.9276786909565682e-18]
[1, 1, 1, 1, 1]
[0.826565107974722, 0.6118738784280481, 0.33195389135223563, 0.1912566947289215, 0.10376060541355184]
[0.8309117923580932, 0.18047896070519512, 0.003672026136061607, 8.16598220832695e-09, 1.7441730626497857e-15]
[0.9483548639781194, 0.8393835224925514, 0.6871603381721815, 0.5502961455841089, 0.43369325584333707]
[0.9792085021946063, 0.8547187121898494, 0.5039753935378231, 0.1469055899957274, 0.024560087286466786]
[25, 78, 146, 241, 335]
[10, 20, 40, 60, 80]
[288, 960, 2064, 3744, 4448]
[1820.7777624938296, 7156.706174631539, 19886.398335432823, 37757.304444820904, 56555.59951476313]
[0.6245594024409424, 0.08200500514705404, 2.8163067516250038e-05, 6.807649869537282e-13, 2.801936653119105e-19]
[1, 1, 1, 1, 1]
[0.8307187014821328, 0.6118738784280481, 0.3319538913522362, 0.18559023879528855, 0.10170090558064034]
[0.8063243494447923, 0.18047896070519512, 0.00024594753327395884, 4.386849451787839e-11, 2.4022036749849675e-16]
[0.9474065091141413, 0.8393835224925515, 0.6681773581762533, 0.5377775894404447, 0.4354323744883374]
[0.9841779353243166, 0.8846906271559697, 0.5162593925067119, 0.15548433834443973, 0.02633922241179932]
[18, 60, 129, 234, 278]
[10, 20, 40, 60, 80]
[256, 832, 1264, 2656, 3488]
[1604.7026893947493, 6840.421241626373, 12822.703413234882, 28550.369608920577, 39252.456806657865]
[0.62559474009428, 0.06452660837991725, 0.0024226538047235537, 2.0186900140525572e-10, 1.0546121634833251e-17]
[1, 1, 1, 1, 1]
[0.8307187014821328, 0.6118738784280477, 0.33195389135223535, 0.1912566947289215, 0.1058620193627483]
[0.8063243494447923, 0.1405131653548666, 0.016487816616202352, 8.16598220832695e-09, 3.1174232037204304e-15]
[0.9474065091141411, 0.8444374977929301, 0.6892259490306525, 0.5502961455841107, 0.4478030481625441]
[0.985809415804865, 0.8887761622750657, 0.642227393099275, 0.23488110874945586, 0.07136245675220587]
[16, 52, 79, 166, 218]
